grid point,x,y,z,shots expected,shots delivered,time taken,u,v,w
1,61.84,437.49,251.34,1,0,2.092,160.000,-15.000,180.000
2,60.80,434.82,251.34,1,0,1.500,157.500,-15.000,180.000
3,59.64,432.19,251.34,1,0,1.499,155.000,-15.000,180.000
4,58.37,429.61,251.34,1,0,1.501,152.500,-15.000,180.000
5,56.99,427.10,251.34,1,0,1.510,150.000,-15.000,180.000
6,55.50,424.64,251.34,1,0,1.499,147.500,-15.000,180.000
7,53.90,422.26,251.34,1,0,1.500,145.000,-15.000,180.000
8,52.21,419.94,251.34,1,0,1.500,142.500,-15.000,180.000
9,50.41,417.70,251.34,1,0,1.000,140.000,-15.000,180.000
10,48.52,415.54,251.34,1,0,1.000,137.500,-15.000,180.000
11,46.53,413.47,251.34,1,0,1.001,135.000,-15.000,180.000
12,44.46,411.48,251.34,1,0,1.000,132.500,-15.000,180.000
13,42.30,409.59,251.34,1,0,0.999,130.000,-15.000,180.000
14,40.06,407.79,251.34,1,0,1.001,127.500,-15.000,180.000
15,37.74,406.10,251.34,1,0,1.000,125.000,-15.000,180.000
16,35.36,404.50,251.34,1,0,0.999,122.500,-15.000,180.000
17,32.90,403.01,251.34,1,0,1.001,120.000,-15.000,180.000
18,30.39,401.63,251.34,1,0,1.000,117.500,-15.000,180.000
19,27.81,400.36,251.34,1,0,1.000,115.000,-15.000,180.000
20,25.18,399.20,251.34,1,0,0.999,112.500,-15.000,180.000
21,22.51,398.16,251.34,1,0,1.001,110.000,-15.000,180.000
22,19.79,397.24,251.34,1,0,1.000,107.500,-15.000,180.000
23,17.03,396.44,251.34,1,0,1.010,105.000,-15.000,180.000
24,14.24,395.76,251.34,1,0,1.000,102.500,-15.000,180.000
25,11.43,395.19,251.34,1,0,1.000,100.000,-15.000,180.000
26,8.59,394.76,251.34,1,0,0.999,97.500,-15.000,180.000
27,5.74,394.45,251.34,1,0,1.001,95.000,-15.000,180.000
28,2.87,394.26,251.34,1,0,0.999,92.500,-15.000,180.000
29,-0.00,394.20,251.34,1,0,1.001,90.000,-15.000,180.000
30,-2.87,394.26,251.34,1,0,0.999,87.500,-15.000,180.000
31,-5.74,394.45,251.34,1,0,1.000,85.000,-15.000,180.000
32,-8.59,394.76,251.34,1,0,1.000,82.500,-15.000,180.000
33,-11.43,395.19,251.34,1,0,1.001,80.000,-15.000,180.000
34,-14.24,395.76,251.34,1,0,0.999,77.500,-15.000,180.000
35,-17.03,396.44,251.34,1,0,1.001,75.000,-15.000,180.000
36,-19.79,397.24,251.34,1,0,0.999,72.500,-15.000,180.000
37,-22.51,398.16,251.34,1,0,1.000,70.000,-15.000,180.000
38,-25.18,399.20,251.34,1,0,1.000,67.500,-15.000,180.000
39,-27.81,400.36,251.34,1,0,1.000,65.000,-15.000,180.000
40,-30.39,401.63,251.34,1,0,1.000,62.500,-15.000,180.000
41,-32.90,403.01,251.34,1,0,1.010,60.000,-15.000,180.000
42,-35.36,404.50,251.34,1,0,1.001,57.500,-15.000,180.000
43,-37.74,406.10,251.34,1,0,0.999,55.000,-15.000,180.000
44,-40.06,407.79,251.34,1,0,1.000,52.500,-15.000,180.000
45,-42.30,409.59,251.34,1,0,1.000,50.000,-15.000,180.000
46,-44.46,411.48,251.34,1,0,1.000,47.500,-15.000,180.000
47,-46.53,413.47,251.34,1,0,1.001,45.000,-15.000,180.000
48,-48.52,415.54,251.34,1,0,0.999,42.500,-15.000,180.000
49,-50.41,417.70,251.34,1,0,1.000,40.000,-15.000,180.000
50,-52.21,419.94,251.34,1,0,1.000,37.500,-15.000,180.000
51,-53.90,422.26,251.34,1,0,1.501,35.000,-15.000,180.000
52,-55.50,424.64,251.34,1,0,1.500,32.500,-15.000,180.000
53,-56.99,427.10,251.34,1,0,1.499,30.000,-15.000,180.000
54,-58.37,429.61,251.34,1,0,1.500,27.500,-15.000,180.000
55,-59.64,432.19,251.34,1,0,1.500,25.000,-15.000,180.000
56,-60.80,434.82,251.34,1,0,1.500,22.500,-15.000,180.000
57,-61.84,437.49,251.34,1,0,1.511,20.000,-15.000,180.000
58,-55.77,439.70,252.98,1,0,1.500,20.000,-13.500,180.000
59,-54.84,437.29,252.98,1,0,1.000,22.500,-13.500,180.000
60,-53.79,434.92,252.98,1,0,0.999,25.000,-13.500,180.000
61,-52.65,432.59,252.98,1,0,1.001,27.500,-13.500,180.000
62,-51.40,430.32,252.98,1,0,0.999,30.000,-13.500,180.000
63,-50.06,428.11,252.98,1,0,1.000,32.500,-13.500,180.000
64,-48.62,425.96,252.98,1,0,1.001,35.000,-13.500,180.000
65,-47.09,423.87,252.98,1,0,0.999,37.500,-13.500,180.000
66,-45.47,421.85,252.98,1,0,1.000,40.000,-13.500,180.000
67,-43.76,419.90,252.98,1,0,1.001,42.500,-13.500,180.000
68,-41.97,418.03,252.98,1,0,0.999,45.000,-13.500,180.000
69,-40.10,416.24,252.98,1,0,1.000,47.500,-13.500,180.000
70,-38.15,414.53,252.98,1,0,1.000,50.000,-13.500,180.000
71,-36.13,412.91,252.98,1,0,1.001,52.500,-13.500,180.000
72,-34.04,411.38,252.98,1,0,0.999,55.000,-13.500,180.000
73,-31.89,409.94,252.98,1,0,1.001,57.500,-13.500,180.000
74,-29.68,408.60,252.98,1,0,0.999,60.000,-13.500,180.000
75,-27.41,407.35,252.98,1,0,1.011,62.500,-13.500,180.000
76,-25.08,406.21,252.98,1,0,0.999,65.000,-13.500,180.000
77,-22.71,405.16,252.98,1,0,1.000,67.500,-13.500,180.000
78,-20.30,404.23,252.98,1,0,1.001,70.000,-13.500,180.000
79,-17.85,403.39,252.98,1,0,1.000,72.500,-13.500,180.000
80,-15.36,402.67,252.98,1,0,1.000,75.000,-13.500,180.000
81,-12.85,402.05,252.98,1,0,0.999,77.500,-13.500,180.000
82,-10.31,401.55,252.98,1,0,1.001,80.000,-13.500,180.000
83,-7.75,401.15,252.98,1,0,1.000,82.500,-13.500,180.000
84,-5.17,400.87,252.98,1,0,0.999,85.000,-13.500,180.000
85,-2.59,400.70,252.98,1,0,1.000,87.500,-13.500,180.000
86,-0.00,400.65,252.98,1,0,1.000,90.000,-13.500,180.000
87,2.59,400.70,252.98,1,0,1.000,92.500,-13.500,180.000
88,5.17,400.87,252.98,1,0,1.000,95.000,-13.500,180.000
89,7.75,401.15,252.98,1,0,1.000,97.500,-13.500,180.000
90,10.31,401.55,252.98,1,0,1.000,100.000,-13.500,180.000
91,12.85,402.05,252.98,1,0,1.001,102.500,-13.500,180.000
92,15.36,402.67,252.98,1,0,0.999,105.000,-13.500,180.000
93,17.85,403.39,252.98,1,0,1.010,107.500,-13.500,180.000
94,20.30,404.23,252.98,1,0,1.001,110.000,-13.500,180.000
95,22.71,405.16,252.98,1,0,1.000,112.500,-13.500,180.000
96,25.08,406.21,252.98,1,0,1.000,115.000,-13.500,180.000
97,27.41,407.35,252.98,1,0,0.999,117.500,-13.500,180.000
98,29.68,408.60,252.98,1,0,1.000,120.000,-13.500,180.000
99,31.89,409.94,252.98,1,0,1.001,122.500,-13.500,180.000
100,34.04,411.38,252.98,1,0,0.999,125.000,-13.500,180.000
101,36.13,412.91,252.98,1,0,1.000,127.500,-13.500,180.000
102,38.15,414.53,252.98,1,0,1.001,130.000,-13.500,180.000
103,40.10,416.24,252.98,1,0,1.000,132.500,-13.500,180.000
104,41.97,418.03,252.98,1,0,0.999,135.000,-13.500,180.000
105,43.76,419.90,252.98,1,0,1.000,137.500,-13.500,180.000
106,45.47,421.85,252.98,1,0,1.000,140.000,-13.500,180.000
107,47.09,423.87,252.98,1,0,1.000,142.500,-13.500,180.000
108,48.62,425.96,252.98,1,0,1.000,145.000,-13.500,180.000
